#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0001934	Positive regulation of protein phosphorylation	21	747	0.94	1.00e-11	9606.ENSP00000162749,9606.ENSP00000263923,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000313391,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000339328,9606.ENSP00000346300,9606.ENSP00000347591,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000376024,9606.ENSP00000378845,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000442600,9606.ENSP00000453302,9606.ENSP00000462468	TNFRSF1A,KDR,ITGA5,TLR3,DAB2,HCLS1,BANK1,STK11,PLAUR,CRKL,GFRA1,PTPN1,ABL1,SRC,SNX9,LAT,MAVS,LYN,DAG1,ADAM8,YES1
GO:0007166	Cell surface receptor signaling pathway	31	2040	0.68	1.00e-11	9606.ENSP00000162749,9606.ENSP00000233154,9606.ENSP00000263923,9606.ENSP00000276420,9606.ENSP00000293328,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000298527,9606.ENSP00000308782,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000327290,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000347591,9606.ENSP00000349436,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000375711,9606.ENSP00000378845,9606.ENSP00000379350,9606.ENSP00000386896,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000462468,9606.ENSP00000483825,9606.ENSP00000496959	TNFRSF1A,NCK2,KDR,DOK2,STAT5B,ITGA5,TLR3,CLEC1B,GP6,DAB2,MET,BANK1,STK11,ITGA11,PLAUR,SH2B3,CRKL,GFRA1,ADAM15,PTPN1,ABL1,SRC,AKT1S1,LAT,ITGB1,ITGA6,MAVS,LYN,YES1,IKBKG,ITGAM
GO:0050776	Regulation of immune response	21	844	0.89	9.16e-11	9606.ENSP00000222005,9606.ENSP00000252483,9606.ENSP00000293328,9606.ENSP00000296795,9606.ENSP00000298229,9606.ENSP00000303507,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000346300,9606.ENSP00000356436,9606.ENSP00000360181,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000384364,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000453302,9606.ENSP00000462468,9606.ENSP00000483825,9606.ENSP00000496959	CDC37,NECTIN2,STAT5B,TLR3,INPPL1,BCR,BANK1,STK11,CRKL,PLA2G4A,SH2D1A,PTPN1,ABL1,SRC,NPY,MAVS,LYN,ADAM8,YES1,IKBKG,ITGAM
GO:0050794	Regulation of cellular process	61	11025	0.24	1.39e-10	9606.ENSP00000001008,9606.ENSP00000005587,9606.ENSP00000162749,9606.ENSP00000222005,9606.ENSP00000233154,9606.ENSP00000245810,9606.ENSP00000252483,9606.ENSP00000254322,9606.ENSP00000256592,9606.ENSP00000263923,9606.ENSP00000264896,9606.ENSP00000276420,9606.ENSP00000293328,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000298229,9606.ENSP00000298527,9606.ENSP00000303507,9606.ENSP00000308782,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000327290,9606.ENSP00000339186,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000347591,9606.ENSP00000349436,9606.ENSP00000352264,9606.ENSP00000356436,9606.ENSP00000360181,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000364711,9606.ENSP00000365458,9606.ENSP00000375711,9606.ENSP00000376024,9606.ENSP00000376367,9606.ENSP00000378845,9606.ENSP00000379350,9606.ENSP00000379721,9606.ENSP00000384364,9606.ENSP00000386896,9606.ENSP00000389377,9606.ENSP00000393847,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000432472,9606.ENSP00000436607,9606.ENSP00000442600,9606.ENSP00000447730,9606.ENSP00000453302,9606.ENSP00000462468,9606.ENSP00000480132,9606.ENSP00000482169,9606.ENSP00000483825,9606.ENSP00000496959	FKBP4,SKAP2,TNFRSF1A,CDC37,NCK2,PSPN,NECTIN2,DNAJB1,TSHB,KDR,SCARB2,DOK2,STAT5B,ITGA5,TLR3,INPPL1,CLEC1B,BCR,GP6,DAB2,MET,HCLS1,BANK1,STK11,ITGA11,GRAP2,PLAUR,SH2B3,CRKL,GFRA1,ADAM15,CD2AP,PLA2G4A,SH2D1A,PTPN1,ABL1,SRC,OGN,HNRNPK,AKT1S1,SNX9,WASF1,LAT,ITGB1,USP8,NPY,ITGA6,NFATC1,PLA2G10,MAVS,LYN,BRK1,ADM,DAG1,CD63,ADAM8,YES1,NCAM1,NEFL,IKBKG,ITGAM
GO:0048584	Positive regulation of response to stimulus	30	2131	0.64	2.06e-10	9606.ENSP00000162749,9606.ENSP00000233154,9606.ENSP00000252483,9606.ENSP00000263923,9606.ENSP00000293328,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000339328,9606.ENSP00000346300,9606.ENSP00000356436,9606.ENSP00000360181,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000376367,9606.ENSP00000379350,9606.ENSP00000379721,9606.ENSP00000384364,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000447730,9606.ENSP00000453302,9606.ENSP00000462468,9606.ENSP00000483825,9606.ENSP00000496959	TNFRSF1A,NCK2,NECTIN2,KDR,STAT5B,ITGA5,TLR3,DAB2,MET,HCLS1,BANK1,STK11,PLAUR,CRKL,PLA2G4A,SH2D1A,PTPN1,ABL1,SRC,WASF1,ITGB1,USP8,NPY,MAVS,LYN,CD63,ADAM8,YES1,IKBKG,ITGAM
GO:0002682	Regulation of immune system process	25	1438	0.74	4.81e-10	9606.ENSP00000222005,9606.ENSP00000233154,9606.ENSP00000252483,9606.ENSP00000293328,9606.ENSP00000296795,9606.ENSP00000298229,9606.ENSP00000303507,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000346300,9606.ENSP00000356436,9606.ENSP00000360181,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000378845,9606.ENSP00000384364,9606.ENSP00000393847,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000453302,9606.ENSP00000462468,9606.ENSP00000483825,9606.ENSP00000496959	CDC37,NCK2,NECTIN2,STAT5B,TLR3,INPPL1,BCR,HCLS1,BANK1,STK11,CRKL,PLA2G4A,SH2D1A,PTPN1,ABL1,SRC,LAT,NPY,PLA2G10,MAVS,LYN,ADAM8,YES1,IKBKG,ITGAM
GO:1902531	Regulation of intracellular signal transduction	27	1726	0.69	4.81e-10	9606.ENSP00000162749,9606.ENSP00000233154,9606.ENSP00000263923,9606.ENSP00000296795,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000339186,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000352264,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000365458,9606.ENSP00000375711,9606.ENSP00000379350,9606.ENSP00000384364,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000442600,9606.ENSP00000453302,9606.ENSP00000483825	TNFRSF1A,NCK2,KDR,TLR3,BCR,DAB2,MET,HCLS1,BANK1,STK11,GRAP2,PLAUR,SH2B3,CRKL,CD2AP,PTPN1,ABL1,SRC,HNRNPK,AKT1S1,ITGB1,NPY,MAVS,LYN,DAG1,ADAM8,IKBKG
GO:0002376	Immune system process	29	2121	0.63	1.17e-09	9606.ENSP00000005587,9606.ENSP00000233154,9606.ENSP00000263923,9606.ENSP00000293328,9606.ENSP00000296795,9606.ENSP00000298229,9606.ENSP00000298527,9606.ENSP00000303507,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000349436,9606.ENSP00000360181,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000378845,9606.ENSP00000379350,9606.ENSP00000384364,9606.ENSP00000386896,9606.ENSP00000393847,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000436607,9606.ENSP00000453302,9606.ENSP00000462468,9606.ENSP00000483825,9606.ENSP00000496959	SKAP2,NCK2,KDR,STAT5B,TLR3,INPPL1,CLEC1B,BCR,HCLS1,BANK1,STK11,SH2B3,CRKL,ADAM15,SH2D1A,ABL1,SRC,LAT,ITGB1,NPY,ITGA6,PLA2G10,MAVS,LYN,ADM,ADAM8,YES1,IKBKG,ITGAM
GO:0009967	Positive regulation of signal transduction	25	1525	0.71	1.58e-09	9606.ENSP00000162749,9606.ENSP00000233154,9606.ENSP00000252483,9606.ENSP00000263923,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320176,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000339328,9606.ENSP00000346300,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000376367,9606.ENSP00000379350,9606.ENSP00000379721,9606.ENSP00000384364,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000447730,9606.ENSP00000453302,9606.ENSP00000483825	TNFRSF1A,NCK2,NECTIN2,KDR,ITGA5,TLR3,DAB2,MET,HCLS1,BANK1,STK11,PLAUR,CRKL,PTPN1,ABL1,SRC,WASF1,ITGB1,USP8,NPY,MAVS,LYN,CD63,ADAM8,IKBKG
GO:0048585	Negative regulation of response to stimulus	25	1612	0.69	4.53e-09	9606.ENSP00000162749,9606.ENSP00000233154,9606.ENSP00000298229,9606.ENSP00000303507,9606.ENSP00000313391,9606.ENSP00000317272,9606.ENSP00000320509,9606.ENSP00000324856,9606.ENSP00000339328,9606.ENSP00000345492,9606.ENSP00000352264,9606.ENSP00000360181,9606.ENSP00000360683,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000375711,9606.ENSP00000379350,9606.ENSP00000384364,9606.ENSP00000386896,9606.ENSP00000389377,9606.ENSP00000393847,9606.ENSP00000428924,9606.ENSP00000436607,9606.ENSP00000442600,9606.ENSP00000462468	TNFRSF1A,NCK2,INPPL1,BCR,DAB2,MET,BANK1,STK11,PLAUR,SH2B3,CD2AP,SH2D1A,PTPN1,ABL1,SRC,AKT1S1,ITGB1,NPY,ITGA6,NFATC1,PLA2G10,LYN,ADM,DAG1,YES1
GO:0044419	Biological process involved in interspecies interaction between organisms	24	1490	0.7	6.05e-09	9606.ENSP00000162749,9606.ENSP00000252483,9606.ENSP00000264896,9606.ENSP00000293328,9606.ENSP00000293379,9606.ENSP00000296795,9606.ENSP00000303507,9606.ENSP00000320509,9606.ENSP00000349436,9606.ENSP00000360181,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000379350,9606.ENSP00000384364,9606.ENSP00000393847,9606.ENSP00000401980,9606.ENSP00000428924,9606.ENSP00000436607,9606.ENSP00000442600,9606.ENSP00000444810,9606.ENSP00000462468,9606.ENSP00000480132,9606.ENSP00000483825,9606.ENSP00000496959	TNFRSF1A,NECTIN2,SCARB2,STAT5B,ITGA5,TLR3,BCR,BANK1,ADAM15,SH2D1A,ABL1,SRC,ITGB1,NPY,PLA2G10,MAVS,LYN,ADM,DAG1,FKBP5,YES1,NCAM1,IKBKG,ITGAM
