#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
kmeans	1	Red	49	FABP5	9606.ENSP00000297258	Fatty acid-binding protein 5; Intracellular carrier for long-chain fatty acids and related active lipids, such as the endocannabinoid, that regulates the metabolism and actions of the ligands they bind. In addition to the cytosolic transport, selectively delivers specific fatty acids from the cytosol to the nucleus, wherein they activate nuclear receptors. Delivers retinoic acid to the nuclear receptor peroxisome proliferator-activated receptor delta; which promotes proliferation and survival. May also serve as a synaptic carrier of endocannabinoid at central synapses and thus controls [...] 
kmeans	1	Red	49	GDF15	9606.ENSP00000252809	Growth/differentiation factor 15; Regulates food intake, energy expenditure and body weight in response to metabolic and toxin-induced stresses. Binds to its receptor, GFRAL, and activates GFRAL- expressing neurons localized in the area postrema and nucleus tractus solitarius of the brainstem. It then triggers the activation of neurons localized within the parabrachial nucleus and central amygdala, which contitutes part of the 'emergency circuit' that shapes feeding responses to stressful conditions. On hepatocytes, inhibits growth hormone signaling (By similarity).
kmeans	1	Red	49	HSPA1A	9606.ENSP00000364802	Heat shock protein family A member 1A.
kmeans	1	Red	49	IFNL1	9606.ENSP00000329991	Interferon lambda-1; Cytokine with antiviral, antitumour and immunomodulatory activities. Plays a critical role in the antiviral host defense, predominantly in the epithelial tissues. Acts as a ligand for the heterodimeric class II cytokine receptor composed of IL10RB and IFNLR1, and receptor engagement leads to the activation of the JAK/STAT signaling pathway resulting in the expression of IFN-stimulated genes (ISG), which mediate the antiviral state. Has a restricted receptor distribution and therefore restricted targets: is primarily active in epithelial cells and this cell type-sel [...] 
kmeans	1	Red	49	IL15	9606.ENSP00000296545	Interleukin-15; Cytokine that stimulates the proliferation of T-lymphocytes. Stimulation by IL15 requires interaction of IL15 with components of the IL2 receptor, including IL2RB and probably IL2RG but not IL2RA. In neutrophils, stimulates phagocytosis probably by signaling through the IL15 receptor, composed of the subunits IL15RA, IL2RB and IL2RG, which results in kinase SYK activation ; Belongs to the IL-15/IL-21 family.
kmeans	1	Red	49	IL15RA	9606.ENSP00000380421	Soluble interleukin-15 receptor subunit alpha; High-affinity receptor for interleukin-15. Can signal both in cis and trans where IL15R from one subset of cells presents IL15 to neighboring IL2RG-expressing cells (By similarity). In neutrophils, binds and activates kinase SYK in response to IL15 stimulation. In neutrophils, required for IL15- induced phagocytosis in a SYK-dependent manner. Expression of different isoforms may alter or interfere with signal transduction. [Isoform 6]: Does not bind IL15.  [Isoform 8]: Does not bind IL15.
kmeans	1	Red	49	IL17C	9606.ENSP00000244241	Interleukin-17C; Cytokine that plays a crucial role in innate immunity of the epithelium, including to intestinal bacterial pathogens, in an autocrine manner. Stimulates the production of antibacterial peptides and proinflammatory molecules for host defense by signaling through the NF-kappa-B and MAPK pathways. Acts synergically with IL22 in inducing the expression of antibacterial peptides, including S100A8, S100A9, REG3A and REG3G. Synergy is also observed with TNF and IL1B in inducing DEFB2 from keratinocytes. Depending on the type of insult, may have both protective and pathogenic  [...] 
kmeans	1	Red	49	IL17RB	9606.ENSP00000288167	Interleukin-17 receptor B; Receptor for the proinflammatory cytokines IL17B and IL17E. May play a role in controlling the growth and/or differentiation of hematopoietic cells.
kmeans	1	Red	49	IL18BP	9606.ENSP00000434717	Interleukin-18-binding protein; Isoform A binds to IL-18 and inhibits its activity. Functions as an inhibitor of the early TH1 cytokine response.
kmeans	1	Red	49	IL19	9606.ENSP00000499459	Interleukin-19; May play some important roles in inflammatory responses. Up- regulates IL-6 and TNF-alpha and induces apoptosis (By similarity).
kmeans	1	Red	49	IL1RL1	9606.ENSP00000233954	Interleukin-1 receptor-like 1; Receptor for interleukin-33 (IL-33); signaling requires association of the coreceptor IL1RAP. Its stimulation recruits MYD88, IRAK1, IRAK4, and TRAF6, followed by phosphorylation of MAPK3/ERK1 and/or MAPK1/ERK2, MAPK14, and MAPK8. Possibly involved in helper T- cell function.
kmeans	1	Red	49	IL32	9606.ENSP00000431775	Interleukin-32; Cytokine that may play a role in innate and adaptive immune responses. It induces various cytokines such as TNFA/TNF-alpha and IL8. It activates typical cytokine signal pathways of NF-kappa-B and p38 MAPK.
kmeans	1	Red	49	IL7	9606.ENSP00000263851	Interleukin-7; Hematopoietic growth factor capable of stimulating the proliferation of lymphoid progenitors. It is important for proliferation during certain stages of B-cell maturation.
kmeans	1	Red	49	IRAK1	9606.ENSP00000358997	Interleukin-1 receptor-associated kinase 1; Serine/threonine-protein kinase that plays a critical role in initiating innate immune response against foreign pathogens. Involved in Toll-like receptor (TLR) and IL-1R signaling pathways. Is rapidly recruited by MYD88 to the receptor-signaling complex upon TLR activation. Association with MYD88 leads to IRAK1 phosphorylation by IRAK4 and subsequent autophosphorylation and kinase activation. Phosphorylates E3 ubiquitin ligases Pellino proteins (PELI1, PELI2 and PELI3) to promote pellino-mediated polyubiquitination of IRAK1. Then, the ubiquit [...] 
kmeans	1	Red	49	IRAK4	9606.ENSP00000479889	Interleukin-1 receptor-associated kinase 4; Serine/threonine-protein kinase that plays a critical role in initiating innate immune response against foreign pathogens. Involved in Toll-like receptor (TLR) and IL-1R signaling pathways. Is rapidly recruited by MYD88 to the receptor- signaling complex upon TLR activation to form the Myddosome together with IRAK2. Phosphorylates initially IRAK1, thus stimulating the kinase activity and intensive autophosphorylation of IRAK1. Phosphorylates E3 ubiquitin ligases Pellino proteins (PELI1, PELI2 and PELI3) to promote pellino-mediated polyubiquit [...] 
kmeans	1	Red	49	LPL	9606.ENSP00000497642	Lipoprotein lipase; Key enzyme in triglyceride metabolism. Catalyzes the hydrolysis of triglycerides from circulating chylomicrons and very low density lipoproteins (VLDL), and thereby plays an important role in lipid clearance from the blood stream, lipid utilization and storage. Mediates margination of triglyceride-rich lipoprotein particles in capillaries. Recruited to its site of action on the luminal surface of vascular endothelium by binding to GPIHBP1 and cell surface heparan sulfate proteoglycans.
kmeans	1	Red	49	MIF	9606.ENSP00000215754	Macrophage migration inhibitory factor; Pro-inflammatory cytokine. Involved in the innate immune response to bacterial pathogens. The expression of MIF at sites of inflammation suggests a role as mediator in regulating the function of macrophages in host defense. Counteracts the anti-inflammatory activity of glucocorticoids. Has phenylpyruvate tautomerase and dopachrome tautomerase activity (in vitro), but the physiological substrate is not known. It is not clear whether the tautomerase activity has any physiological relevance, and whether it is important for cytokine activity.
kmeans	1	Red	49	NCR1	9606.ENSP00000291890	Natural cytotoxicity triggering receptor 1; Cytotoxicity-activating receptor that may contribute to the increased efficiency of activated natural killer (NK) cells to mediate tumor cell lysis.
kmeans	1	Red	49	PI3	9606.ENSP00000243924	Elafin; Neutrophil and pancreatic elastase-specific inhibitor of skin. It may prevent elastase-mediated tissue proteolysis. Has been shown to inhibit the alpha-4-beta-2/CHRNA2-CHRNB2 nicotinic acetylcholine receptor and to produce a weak inhibition on Kv11.1/KCNH2/ERG1 and on the transient receptor potential cation channel subfamily V member 1 (TRPV1).
kmeans	1	Red	49	PTX3	9606.ENSP00000295927	Pentraxin-related protein PTX3; Plays a role in the regulation of innate resistance to pathogens, inflammatory reactions, possibly clearance of self- components and female fertility.
kmeans	1	Red	49	PVR	9606.ENSP00000402060	Poliovirus receptor; Mediates NK cell adhesion and triggers NK cell effector functions. Binds two different NK cell receptors: CD96 and CD226. These interactions accumulates at the cell-cell contact site, leading to the formation of a mature immunological synapse between NK cell and target cell. This may trigger adhesion and secretion of lytic granules and IFN-gamma and activate cytoxicity of activated NK cells. May also promote NK cell-target cell modular exchange, and PVR transfer to the NK cell. This transfer is more important in some tumor cells expressing a lot of PVR, and may tri [...] 
kmeans	1	Red	49	RETN	9606.ENSP00000221515	Resistin; Hormone that seems to suppress insulin ability to stimulate glucose uptake into adipose cells (By similarity). Potentially links obesity to diabetes (By similarity). Promotes chemotaxis in myeloid cells.
kmeans	1	Red	49	SELP	9606.ENSP00000263686	P-selectin; Ca(2+)-dependent receptor for myeloid cells that binds to carbohydrates on neutrophils and monocytes. Mediates the interaction of activated endothelial cells or platelets with leukocytes. The ligand recognized is sialyl-Lewis X. Mediates rapid rolling of leukocyte rolling over vascular surfaces during the initial steps in inflammation through interaction with SELPLG; Belongs to the selectin/LECAM family.
kmeans	1	Red	49	SPP1	9606.ENSP00000378517	Osteopontin; Binds tightly to hydroxyapatite. Appears to form an integral part of the mineralized matrix. Probably important to cell-matrix interaction.
kmeans	1	Red	49	TNFRSF12A	9606.ENSP00000326737	Tumor necrosis factor receptor superfamily member 12A; Receptor for TNFSF12/TWEAK. Weak inducer of apoptosis in some cell types. Promotes angiogenesis and the proliferation of endothelial cells. May modulate cellular adhesion to matrix proteins.
kmeans	1	Red	49	TNFRSF4	9606.ENSP00000368538	Tumor necrosis factor receptor superfamily member 4; Receptor for TNFSF4/OX40L/GP34. Is a costimulatory molecule implicated in long-term T-cell immunity.
kmeans	1	Red	49	TNFRSF9	9606.ENSP00000478699	Tumor necrosis factor receptor superfamily member 9; Receptor for TNFSF9/4-1BBL. Possibly active during T cell activation.
kmeans	1	Red	49	TYMP	9606.ENSP00000379038	Thymidine phosphorylase; May have a role in maintaining the integrity of the blood vessels. Has growth promoting activity on endothelial cells, angiogenic activity in vivo and chemotactic activity on endothelial cells in vitro.
kmeans	1	Red	49	VCAM1	9606.ENSP00000294728	Vascular cell adhesion protein 1; Important in cell-cell recognition. Appears to function in leukocyte-endothelial cell adhesion. Interacts with integrin alpha- 4/beta-1 (ITGA4/ITGB1) on leukocytes, and mediates both adhesion and signal transduction. The VCAM1/ITGA4/ITGB1 interaction may play a pathophysiologic role both in immune responses and in leukocyte emigration to sites of inflammation.
kmeans	1	Red	49	XCL1	9606.ENSP00000356792	Lymphotactin; Chemotactic activity for lymphocytes but not for monocytes or neutrophils. In thymus, mediates medullary accumulation of thymic dendritic cells and contributes to regulatoy T cell development, playing a role in self-tolerance establishment. Belongs to the intercrine gamma family.
kmeans	2	Brown	47	ARHGEF12	9606.ENSP00000380942	Rho guanine nucleotide exchange factor 12; May play a role in the regulation of RhoA GTPase by guanine nucleotide-binding alpha-12 (GNA12) and alpha-13 (GNA13). Acts as guanine nucleotide exchange factor (GEF) for RhoA GTPase and may act as GTPase-activating protein (GAP) for GNA12 and GNA13.
kmeans	2	Brown	47	CD200R1	9606.ENSP00000311035	Cell surface glycoprotein CD200 receptor 1; Inhibitory receptor for the CD200/OX2 cell surface glycoprotein. Limits inflammation by inhibiting the expression of proinflammatory molecules including TNF-alpha, interferons, and inducible nitric oxide synthase (iNOS) in response to selected stimuli. Also binds to HHV-8 K14 viral CD200 homolog with identical affinity and kinetics as the host CD200.
kmeans	2	Brown	47	CD27	9606.ENSP00000266557	CD27 antigen; Receptor for CD70/CD27L. May play a role in survival of activated T-cells. May play a role in apoptosis through association with SIVA1.
kmeans	2	Brown	47	CD300C	9606.ENSP00000329507	CMRF35-like molecule 6; CD300c molecule; Belongs to the CD300 family.
kmeans	2	Brown	47	CD302	9606.ENSP00000259053	CD302 antigen; Potential multifunctional C-type lectin receptor that may play roles in endocytosis and phagocytosis as well as in cell adhesion and migration.
kmeans	2	Brown	47	CDON	9606.ENSP00000376458	Cell adhesion molecule-related/down-regulated by oncogenes; Component of a cell-surface receptor complex that mediates cell-cell interactions between muscle precursor cells. Promotes differentiation of myogenic cells (By similarity).
kmeans	2	Brown	47	CKAP4	9606.ENSP00000367265	Cytoskeleton-associated protein 4; High-affinity epithelial cell surface receptor for APF.
kmeans	2	Brown	47	CLEC10A	9606.ENSP00000254868	C-type lectin domain family 10 member A; Probable role in regulating adaptive and innate immune responses. Binds in a calcium-dependent manner to terminal galactose and N-acetylgalactosamine units, linked to serine or threonine. These sugar moieties are known as Tn-Ag and are expressed in a variety of carcinoma cells.
kmeans	2	Brown	47	CLEC5A	9606.ENSP00000449999	C-type lectin domain family 5 member A; Functions as a positive regulator of osteoclastogenesis (By similarity). Cell surface receptor that signals via TYROBP. Regulates inflammatory responses (By similarity).
kmeans	2	Brown	47	CPXM1	9606.ENSP00000369979	Probable carboxypeptidase X1; May be involved in cell-cell interactions. No carboxypeptidase activity was found yet (By similarity).
kmeans	2	Brown	47	CRADD	9606.ENSP00000439068	Death domain-containing protein CRADD; Adapter protein that associates with PIDD1 and the caspase CASP2 to form the PIDDosome, a complex that activates CASP2 and triggers apoptosis. Also recruits CASP2 to the TNFR-1 signaling complex through its interaction with RIPK1 and TRADD and may play a role in the tumor necrosis factor-mediated signaling pathway.
kmeans	2	Brown	47	CRTAM	9606.ENSP00000227348	Cytotoxic and regulatory T-cell molecule; Interaction with CADM1 promotes natural killer (NK) cell cytotoxicity and interferon-gamma (IFN-gamma) secretion by CD8+ cells in vitro as well as NK cell-mediated rejection of tumors expressing CADM3 in vivo; Belongs to the nectin family.
kmeans	2	Brown	47	CTF1	9606.ENSP00000279804	Cardiotrophin-1; Induces cardiac myocyte hypertrophy in vitro. Binds to and activates the ILST/gp130 receptor.
kmeans	2	Brown	47	DSC2	9606.ENSP00000280904	Desmocollin-2; Component of intercellular desmosome junctions. Involved in the interaction of plaque proteins and intermediate filaments mediating cell-cell adhesion. May contribute to epidermal cell positioning (stratification) by mediating differential adhesiveness between cells that express different isoforms.
kmeans	2	Brown	47	DSG4	9606.ENSP00000352785	Desmoglein-4; Component of intercellular desmosome junctions. Involved in the interaction of plaque proteins and intermediate filaments mediating cell-cell adhesion. Coordinates the transition from proliferation to differentiation in hair follicle keratinocytes (By similarity).
kmeans	2	Brown	47	EDA2R	9606.ENSP00000379365	Tumor necrosis factor receptor superfamily member 27; Receptor for EDA isoform A2, but not for EDA isoform A1. Mediates the activation of the NF-kappa-B and JNK pathways. Activation seems to be mediated by binding to TRAF3 and TRAF6.
kmeans	2	Brown	47	EDAR	9606.ENSP00000258443	Tumor necrosis factor receptor superfamily member EDAR; Receptor for EDA isoform A1, but not for EDA isoform A2. Mediates the activation of NF-kappa-B and JNK. May promote caspase- independent cell death.
kmeans	2	Brown	47	ESM1	9606.ENSP00000370812	Endothelial cell-specific molecule 1; Involved in angiogenesis; promotes angiogenic sprouting. May have potent implications in lung endothelial cell-leukocyte interactions.
kmeans	2	Brown	47	FGFR1OP	9606.ENSP00000355812	FGFR1 oncogene partner; Required for anchoring microtubules to the centrosomes. Required for ciliation.
kmeans	2	Brown	47	HCST	9606.ENSP00000246551	Hematopoietic cell signal transducer; Transmembrane adapter protein which associates with KLRK1 to form an activation receptor KLRK1-HCST in lymphoid and myeloid cells; this receptor plays a major role in triggering cytotoxicity against target cells expressing cell surface ligands such as MHC class I chain- related MICA and MICB, and UL16-binding proteins (ULBPs); these ligands are up-regulated by stress conditions and pathological state such as viral infection and tumor transformation. Functions as docking site for PI3-kinase PIK3R1 and GRB2. Interaction of ULBPs with KLRK1-HCST trigg [...] 
kmeans	2	Brown	47	IGSF3	9606.ENSP00000358495	Immunoglobulin superfamily member 3.
kmeans	2	Brown	47	KIFBP	9606.ENSP00000354848	KIF-binding protein; Required for organization of axonal microtubules, and axonal outgrowth and maintenance during peripheral and central nervous system development; Belongs to the KIF-binding protein family.
kmeans	2	Brown	47	KLB	9606.ENSP00000257408	Beta-klotho; Contributes to the transcriptional repression of cholesterol 7-alpha-hydroxylase (CYP7A1), the rate-limiting enzyme in bile acid synthesis. Probably inactive as a glycosidase. Increases the ability of FGFR1 and FGFR4 to bind FGF21 (By similarity).
kmeans	2	Brown	47	LAIR1	9606.ENSP00000375622	Leukocyte-associated immunoglobulin-like receptor 1; Functions as an inhibitory receptor that plays a constitutive negative regulatory role on cytolytic function of natural killer (NK) cells, B-cells and T-cells. Activation by Tyr phosphorylation results in recruitment and activation of the phosphatases PTPN6 and PTPN11. It also reduces the increase of intracellular calcium evoked by B-cell receptor ligation. May also play its inhibitory role independently of SH2-containing phosphatases. Modulates cytokine production in CD4+ T- cells, down-regulating IL2 and IFNG production while induc [...] 
kmeans	2	Brown	47	LAT2	9606.ENSP00000381492	Linker for activation of T-cells family member 2; Involved in FCER1 (high affinity immunoglobulin epsilon receptor)-mediated signaling in mast cells. May also be involved in BCR (B-cell antigen receptor)-mediated signaling in B-cells and FCGR1 (high affinity immunoglobulin gamma Fc receptor I)-mediated signaling in myeloid cells. Couples activation of these receptors and their associated kinases with distal intracellular events through the recruitment of GRB2.
kmeans	2	Brown	47	LGALS8	9606.ENSP00000435460	Galectin-8; Beta-galactoside-binding lectin that acts as a sensor of membrane damage caused by infection and restricts the proliferation of infecting pathogens by targeting them for autophagy. Detects membrane rupture by binding beta-galactoside ligands located on the lumenal side of the endosome membrane; these ligands becoming exposed to the cytoplasm following rupture. Restricts infection by initiating autophagy via interaction with CALCOCO2/NDP52. Required to restrict infection of bacterial invasion such as S.typhimurium. Also required to restrict infection of Picornaviridae viruse [...] 
kmeans	2	Brown	47	LILRB1	9606.ENSP00000315997	Leukocyte immunoglobulin-like receptor subfamily B member 1; Receptor for class I MHC antigens. Recognizes a broad spectrum of HLA-A, HLA-B, HLA-C, HLA-G and HLA-F alleles. Receptor for H301/UL18, a human cytomegalovirus class I MHC homolog. Ligand binding results in inhibitory signals and down-regulation of the immune response. Engagement of LILRB1 present on natural killer cells or T-cells by class I MHC molecules protects the target cells from lysis. Interaction with HLA-B or HLA-E leads to inhibition of FCER1A signaling and serotonin release. Inhibits FCGR1A-mediated phosphorylatio [...] 
kmeans	2	Brown	47	LTBR	9606.ENSP00000228918	Tumor necrosis factor receptor superfamily member 3; Receptor for the heterotrimeric lymphotoxin containing LTA and LTB, and for TNFS14/LIGHT. Promotes apoptosis via TRAF3 and TRAF5. May play a role in the development of lymphoid organs.
kmeans	2	Brown	47	MAP2K6	9606.ENSP00000468348	Dual specificity mitogen-activated protein kinase kinase 6; Dual specificity protein kinase which acts as an essential component of the MAP kinase signal transduction pathway. With MAP3K3/MKK3, catalyzes the concomitant phosphorylation of a threonine and a tyrosine residue in the MAP kinases p38 MAPK11, MAPK12, MAPK13 and MAPK14 and plays an important role in the regulation of cellular responses to cytokines and all kinds of stresses. Especially, MAP2K3/MKK3 and MAP2K6/MKK6 are both essential for the activation of MAPK11 and MAPK13 induced by environmental stress, whereas MAP2K6/MKK6 i [...] 
kmeans	2	Brown	47	MPIG6B	9606.ENSP00000497720	Megakaryocyte and platelet inhibitory receptor G6b; Inhibitory receptor that acts as a critical regulator of hematopoietic lineage differentiation, megakaryocyte function and platelet production. Inhibits platelet aggregation and activation by agonists such as ADP and collagen-related peptide. This regulation of megakaryocate function as well as platelet production ann activation is done through the inhibition (via the 2 ITIM motifs) of the receptors CLEC1B and GP6:FcRgamma signaling. Appears to operate in a calcium-independent manner.
kmeans	2	Brown	47	PLXNA4	9606.ENSP00000352882	Plexin-A4; Coreceptor for SEMA3A. Necessary for signaling by class 3 semaphorins and subsequent remodeling of the cytoskeleton. Plays a role in axon guidance in the developing nervous system. Class 3 semaphorins bind to a complex composed of a neuropilin and a plexin. The plexin modulates the affinity of the complex for specific semaphorins, and its cytoplasmic domain is required for the activation of down-stream signaling events in the cytoplasm (By similarity).
kmeans	2	Brown	47	PLXNB3	9606.ENSP00000442736	Plexin-B3; Receptor for SEMA5A that plays a role in axon guidance, invasive growth and cell migration. Stimulates neurite outgrowth and mediates Ca(2+)/Mg(2+)-dependent cell aggregation. In glioma cells, SEMA5A stimulation of PLXNB3 results in the disassembly of F-actin stress fibers, disruption of focal adhesions and cellular collapse as well as inhibition of cell migration and invasion through ARHGDIA- mediated inactivation of RAC1; Belongs to the plexin family.
kmeans	2	Brown	47	PQBP1	9606.ENSP00000498362	Polyglutamine-binding protein 1; Intrinsically disordered protein that acts as a scaffold, and which is involved in different processes, such as pre-mRNA splicing, transcription regulation, innate immunity and neuron development. Interacts with splicing-related factors via the intrinsically disordered region and regulates alternative splicing of target pre-mRNA species. May suppress the ability of POU3F2 to transactivate the DRD1 gene in a POU3F2 dependent manner. Can activate transcription directly or via association with the transcription machinery. May be involved in ATXN1 mutant-in [...] 
kmeans	2	Brown	47	SERPINB9	9606.ENSP00000370074	Serpin B9; Granzyme B inhibitor.
kmeans	2	Brown	47	SFTPD	9606.ENSP00000361366	Pulmonary surfactant-associated protein D; Contributes to the lung's defense against inhaled microorganisms, organic antigens and toxins. Interacts with compounds such as bacterial lipopolysaccharides, oligosaccharides and fatty acids and modulates leukocyte action in immune response. May participate in the extracellular reorganization or turnover of pulmonary surfactant. Binds strongly maltose residues and to a lesser extent other alpha- glucosyl moieties.
